Uid,Attempts Q1,time of each attempt
ctf,5,['05/06/2021 10:29:33']
Uid,Attempts Q1,time of each attempt
ctf2,5,['05/06/2021 10:31:09']
Uid,Attempts Q3,time of each attempt
ctf2,5,['05/06/2021 10:32:16']
Uid,Attempts Q1,time of each attempt
ctf,5,['05/06/2021 10:33:53']
Uid,Attempts Q1,time of each attempt
ctf,5,"['05/06/2021 10:34:37', '05/06/2021 10:34:38', '05/06/2021 10:34:39', '05/06/2021 10:34:40', '05/06/2021 10:34:41']"
